tournament,bracket,team1name,team2name,team1wins,team2wins,time
BBrawl4,Group1,Some Side Cab Scrubs,Mr. Buth's Wilder Ride,2,1,2019-09-07T13:40:21-0500
BBrawl4,Group1,Too Spicy,The BB4 After Party Is At Todd's House,0,3,2019-09-07T14:26:08-0500
BBrawl4,Group1,Sting Operation,Hip Hop Dads & Fishin’,0,3,2019-09-07T14:26:08-0500
BBrawl4,Group1,Some Side Cab Scrubs,You Best Not Miss,3,0,2019-09-07T14:26:08-0500
BBrawl4,Group1,Maria & the Boys,Mr. Buth's Wilder Ride,0,3,2019-09-07T14:26:08-0500
BBrawl4,Group2,Hamsterdam,This Gate Was Made For Me,0,3,2019-09-06T13:36:03-0300
BBrawl4,Group2,xtra guac,Crisis Mode,2,1,2019-09-06T13:36:03-0300
BBrawl4,Group2,🦀CLAWXIC🦀,Bad Boys 4,3,0,2019-09-06T13:36:03-0300
BBrawl4,Group2,Queen's Tribe,Boo Bees,3,0,2019-09-06T13:36:03-0300
BBrawl4,Group2,This Gate Was Made For Me,Crisis Mode,0,3,2019-09-07T14:09:37-0300
BBrawl4,Group2,BHGBees,Bad Boys 4,0,3,2019-09-07T14:09:37-0300
BBrawl4,Group2,Queen's Tribe,xtra guac,0,3,2019-09-07T14:09:37-0300
BBrawl4,Group2,Hamsterdam,🦀CLAWXIC🦀,0,3,2019-09-07T14:09:37-0300
BBrawl4,Group2,Queen's Tribe,Bad Boys 4,1,2,2019-09-07T14:55:50-0300
BBrawl4,Group2,Crisis Mode,Hamsterdam,0,3,2019-09-07T14:55:50-0300
BBrawl4,Group2,BHGBees,Boo Bees,1,2,2019-09-07T14:55:50-0300
BBrawl4,Group2,🦀CLAWXIC🦀,xtra guac,2,1,2019-09-07T14:55:50-0300
BBrawl4,Group2,Boo Bees,Bad Boys 4,0,3,2019-09-07T15:28:51-0300
BBrawl4,Group2,🦀CLAWXIC🦀,Crisis Mode,3,0,2019-09-07T15:28:51-0300
BBrawl4,Group2,This Gate Was Made For Me,BHGBees,3,0,2019-09-07T15:28:51-0300
BBrawl4,Group2,Hamsterdam,xtra guac,3,0,2019-09-07T15:28:51-0300
BBrawl4,Group2,🦀CLAWXIC🦀,Queen's Tribe,3,0,2019-09-07T16:08:42-0300
BBrawl4,Group2,xtra guac,BHGBees,3,0,2019-09-07T16:08:42-0300
BBrawl4,Group2,This Gate Was Made For Me,Boo Bees,3,0,2019-09-07T16:08:42-0300
BBrawl4,Group2,Hamsterdam,Bad Boys 4,3,0,2019-09-07T16:08:42-0300
CHA_HT,KO,CHA-Ching,God Slay the Queen,3,1,2018-11-17T18:20:07-0500
CHA_HT,KO,BONHSℲ,Purple Reign,3,0,2018-11-17T18:20:07-0500
CHA_HT,KO,"Weird Flex, But Okay",Bumbledore’s Army,3,0,2018-11-17T18:20:07-0500
CHA_HT,KO,Fans of John K,CHA-Ching,3,1,2018-11-17T18:34:52-0500
CHA_HT,KO,BONHSℲ,"Weird Flex, But Okay",3,1,2018-11-17T18:55:18-0500
CHA_HT,KO,Fans of John K,BONHSℲ,3,2,2018-11-17T19:32:19-0500
CHA_HT,KO,Purple Reign,Bumbledore’s Army,0,3,2018-11-17T18:55:18-0500
CHA_HT,KO,"Weird Flex, But Okay",God Slay the Queen,3,0,2018-11-17T19:32:19-0500
CHA_HT,KO,CHA-Ching,Bumbledore’s Army,3,0,2018-11-17T19:16:07-0500
CHA_HT,KO,"Weird Flex, But Okay",CHA-Ching,3,1,2018-11-17T19:56:18-0500
CHA_HT,KO,BONHSℲ,"Weird Flex, But Okay",3,2,2018-11-17T20:30:04-0500
CHA_HT,KO,Fans of John K,BONHSℲ,2,1,2018-11-17T20:59:10-0500
CHA_HT,WC,"Weird Flex, But Okay",BONHSℲ,0,2,2018-11-17T21:17:29+0000
CHA_HT,WC,God Slay the Queen,Fans of John K,0,2,2018-11-17T21:17:29+0000
CHA_HT,WC,Bumbledore’s Army,CHA-Ching,0,2,2018-11-17T21:17:29+0000
CHA_HT,WC,God Slay the Queen,Purple Reign,2,1,2018-11-17T21:36:02+0000
CHA_HT,WC,CHA-Ching,"Weird Flex, But Okay",2,1,2018-11-17T21:36:01+0000
CHA_HT,WC,BONHSℲ,Fans of John K,1,2,2018-11-17T21:36:01+0000
CHA_HT,WC,BONHSℲ,God Slay the Queen,2,0,2018-11-17T22:18:11+0000
CHA_HT,WC,Fans of John K,"Weird Flex, But Okay",2,0,2018-11-17T22:18:11+0000
CHA_HT,WC,Purple Reign,Bumbledore’s Army,1,2,2018-11-17T22:18:11+0000
CHA_HT,WC,Purple Reign,"Weird Flex, But Okay",0,2,2018-11-17T22:44:04+0000
CHA_HT,WC,BONHSℲ,Bumbledore’s Army,2,0,2018-11-17T22:44:04+0000
CHA_HT,WC,Fans of John K,CHA-Ching,2,0,2018-11-17T22:44:04+0000
